81,65,43,75,35,16,10,85,78,54,64,31,8,3,3,5,17,95,3,25
90,3,38,25,83,79,96,62,38,29,37,92,26,88,74,68,39,92,56,29
12,84,76,50,58,31,0,35,24,74,81,43,80,91,50,4,83,5,88,61
91,93,79,69,54,52,77,51,40,18,53,18,2,79,47,7,80,73,66,26
63,67,18,89,91,16,81,40,9,68,35,90,92,9,90,52,6,26,19,82
9,75,48,95,28,60,86,7,13,18,93,97,73,26,60,9,39,42,36,98
27,74,44,54,75,26,8,23,94,36,87,43,48,33,61,81,52,54,46,73
54,39,64,13,75,65,39,12,95,62,55,11,57,67,85,81,41,94,98,34
95,65,70,14,38,68,25,18,57,78,62,25,23,13,80,72,65,41,15,58
96,17,75,25,56,74,80,23,5,8,58,40,45,72,57,14,62,98,85,10
15,70,27,84,7,45,43,41,23,92,20,59,96,10,18,65,29,30,64,90
97,3,67,25,5,8,91,4,35,77,30,26,54,65,23,51,43,70,37,87
95,27,65,81,53,22,18,90,82,48,47,60,52,49,88,97,1,66,19,81
48,4,16,24,77,91,26,94,1,43,23,71,23,77,2,64,98,53,42,26
80,9,11,92,93,15,14,49,4,44,84,22,48,71,48,80,16,69,48,59
14,82,49,34,12,82,13,48,16,30,19,11,62,90,16,45,10,66,12,2
42,69,95,19,56,53,86,33,64,50,22,29,67,89,97,43,37,17,58,42
91,31,34,25,46,99,57,90,73,51,17,31,39,33,71,82,19,12,22,31
79,95,58,61,1,7,54,36,64,81,22,42,36,69,50,8,48,99,38,16
95,3,22,47,33,44,14,11,45,79,43,50,98,19,47,13,33,17,58,17
